submission_id,zip,age,gender,cups,cups_num,home_brew,party
XeBPNP,85202,35-44 years old,Female,1,1,Espresso,Independent
jB9Aq4,78251,25-34 years old,Male,Less than 1,0,"Pour over, Coffee extract (e.g. Cometeer), Espresso",Democrat
qbE1M9,80218,25-34 years old,Female,3,3,Pour over,Independent
5dqPON,14456,18-24 years old,Male,2,2,"Pour over, Espresso, Other",No affiliation
rlrMW2,1921,25-34 years old,Male,2,2,Espresso,Independent
dY2ezr,55447,25-34 years old,Male,2,2,"Pour over, French press, Other",Democrat
GrBAaZ,98052,25-34 years old,Male,2,2,"Pour over, French press, Espresso",Democrat
7d9rOZ,16801,35-44 years old,Male,2,2,Espresso,No affiliation
kYRB1e,37909,35-44 years old,Male,1,1,Pod/capsule machine (e.g. Keurig/Nespresso),Democrat
24xGzj,89129,35-44 years old,Male,4,4,NA,Democrat
XeBPQP,79601,25-34 years old,Male,3,3,Coffee brewing machine (e.g. Mr. Coffee),No affiliation
9dJj4E,17603,25-34 years old,Female,2,2,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",No affiliation
MAdpqA,77007,45-54 years old,Female,Less than 1,0,"Pour over, French press",NA
AlbeOz,95219,18-24 years old,Male,2,2,"Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso), Other",Independent
NAB1Qj,12866,25-34 years old,Male,3,3,"Pour over, Espresso",Independent
GrBA5O,79601,18-24 years old,Male,Less than 1,0,Pour over,No affiliation
24xGYj,48840,25-34 years old,Male,2,2,"Espresso, Pour over",Republican
kYRBXR,59701,25-34 years old,Male,2,2,Pour over,No affiliation
dY2eXo,73069,55-64 years old,Male,2,2,Coffee brewing machine (e.g. Mr. Coffee),Democrat
QABlp7,11217,25-34 years old,Male,2,2,"Pour over, Other",Democrat
ylq5GX,55347,35-44 years old,Male,1,1,Other,NA
EPb7Al,78752,35-44 years old,Female,1,1,"Pour over, Espresso",Democrat
42NVEA,13820,35-44 years old,Male,1,1,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Democrat
aBrqgb,63017,35-44 years old,Male,2,2,Coffee brewing machine (e.g. Mr. Coffee),Democrat
1r2oyl,37932,25-34 years old,Male,Less than 1,0,"Coffee extract (e.g. Cometeer), Pour over, Espresso, French press",Democrat
42NVEr,7083,35-44 years old,Male,2,2,"Pour over, Other",Democrat
g5N614,37207,25-34 years old,Female,2,2,"Cold brew, Espresso",Democrat
0EjRyj,89148,35-44 years old,Male,4,4,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Republican
6dQEzJ,92617,25-34 years old,Male,3,3,Pour over,Democrat
jB9Ara,19342,25-34 years old,Male,Less than 1,0,NA,Democrat
dY2e4K,90039,25-34 years old,Non-binary,Less than 1,0,NA,No affiliation
zKQ5vM,32601,18-24 years old,Male,2,2,"Pour over, Espresso, French press",Democrat
YZzlgW,78725,25-34 years old,Male,1,1,"Pour over, Espresso",Democrat
pLPpZ1,28132,18-24 years old,Male,1,1,French press,Democrat
xdN5B5,60067,>65 years old,Female,4,4,"Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)",Democrat
rlrMp2,78749,25-34 years old,Male,1,1,"Pour over, Espresso",Democrat
QABlWG,10128,25-34 years old,Male,2,2,"Pour over, Coffee extract (e.g. Cometeer), Cold brew",No affiliation
vNx5d4,85003,25-34 years old,Male,1,1,"Pour over, Cold brew, Instant coffee, Other",Democrat
jB9AzQ,85003,25-34 years old,Non-binary,1,1,"Pour over, Instant coffee, Cold brew, Espresso",Democrat
MAdp2M,18032,25-34 years old,Female,1,1,"Pour over, Other",Democrat
7d9rYZ,3801,25-34 years old,Male,2,2,"Pour over, Other",No affiliation
g5N6XO,20852,25-34 years old,Male,2,2,Pour over,Democrat
PABJr1,98106,25-34 years old,Male,2,2,"French press, Instant coffee, Pod/capsule machine (e.g. Keurig/Nespresso), Coffee brewing machine (e.g. Mr. Coffee)",Democrat
RzByg4,2478,25-34 years old,Male,1,1,Other,No affiliation
MAdpGl,2135,25-34 years old,Female,2,2,"Cold brew, Pour over",No affiliation
RzByaj,60637,25-34 years old,Male,2,2,"Pour over, French press, Espresso",Democrat
